n_over_m,sparsity,frequency,condition,seed,feature,importance,imp_rank,w_norm,D_i,I_i,late_top1evr,late_pr
8,0.8,0.2,input_at,2,29,0.37689247727394104,29,0.3006168007850647,0.014863109216094017,0.27521172165870667,0.453980416059494,3.6512765884399414
8,0.8,0.2,input_at,2,31,0.3052828907966614,31,0.4226992428302765,0.0315144881606102,0.22541335225105286,0.42874354124069214,3.8892641067504883
8,0.8,0.2,input_at,2,32,0.2747545838356018,32,0.318422794342041,0.012041933834552765,0.3001742660999298,0.4481453597545624,3.7060253620147705
8,0.8,0.2,input_at,2,33,0.2472791224718094,33,0.33499354124069214,0.016981109976768494,0.23962068557739258,0.45554232597351074,3.6482152938842773
8,0.8,0.2,input_at,2,38,0.14601582288742065,38,1.0370651483535767,0.09267069399356842,0.30654409527778625,0.44304195046424866,3.774061441421509
8,0.8,0.2,input_at,2,39,0.1314142495393753,39,0.32513418793678284,0.010726743377745152,0.29062625765800476,0.44937193393707275,3.6999852657318115
8,0.8,0.2,input_at,2,40,0.1182728186249733,40,1.2300223112106323,0.12863591313362122,0.325888991355896,0.4616619348526001,3.5874834060668945
8,0.8,0.2,input_at,2,41,0.10644552856683731,41,0.48893973231315613,0.06326133012771606,0.18645845353603363,0.45875149965286255,3.618072748184204
8,0.8,0.2,input_at,2,42,0.09580098092556,42,0.7968897223472595,0.09693528711795807,0.2534988522529602,0.4505314230918884,3.700596809387207
8,0.8,0.2,input_at,2,43,0.0862208753824234,43,0.5385876893997192,0.05497920513153076,0.21241798996925354,0.46428951621055603,3.5592615604400635
8,0.8,0.2,input_at,2,44,0.07759878784418106,44,1.1189308166503906,0.09886271506547928,0.3264985978603363,0.46568313241004944,3.536390542984009
8,0.8,0.2,input_at,2,45,0.06983890384435654,45,0.7317480444908142,0.04252881184220314,0.37057799100875854,0.45679137110710144,3.649733781814575
8,0.8,0.2,input_at,2,46,0.06285501271486282,46,0.3679356873035431,0.025780845433473587,0.14825481176376343,0.4468122124671936,3.711974859237671
8,0.8,0.2,input_at,2,47,0.05656951293349266,47,0.723603367805481,0.08258526772260666,0.23278836905956268,0.45206642150878906,3.6803641319274902
8,0.8,0.2,input_at,2,48,0.050912562757730484,48,0.7015403509140015,0.03877471759915352,0.35984212160110474,0.46031421422958374,3.6032509803771973
8,0.8,0.2,input_at,2,50,0.041239168494939804,50,0.4290459454059601,0.03733989968895912,0.11906199157238007,0.44605696201324463,3.706234931945801
8,0.8,0.2,input_at,2,51,0.03711525350809097,51,0.9226465821266174,0.09063645452260971,0.2793119251728058,0.4670986235141754,3.5552055835723877
8,0.8,0.2,input_at,2,52,0.033403728157281876,52,0.5529859066009521,0.02438034676015377,0.377713143825531,0.4497116506099701,3.704777240753174
8,0.8,0.2,input_at,2,53,0.03006335347890854,53,0.3968067765235901,0.01953178457915783,0.26140591502189636,0.4683276116847992,3.54036283493042
