n_over_m,sparsity,condition,seed,feature,w_norm,I_i,D_i,self_drop,collateral,n_represented
2,0.8,input_at,2,12,1.1228388547897339,0.28427284955978394,0.6979160904884338,1.3053243160247803,-1.4923348317097407e-05,15
2,0.8,input_at,2,13,1.3939119577407837,0.05377533659338951,0.49580472707748413,1.0351500511169434,0.07380492240190506,15
2,0.8,input_at,2,16,1.230467677116394,0.053564392030239105,0.4804680049419403,1.022683024406433,0.07213138043880463,15
2,0.8,input_at,3,0,1.0970327854156494,0.06340430676937103,0.8530584573745728,1.126664638519287,0.00028447018121369183,14
2,0.8,input_at,3,1,1.1176936626434326,0.05889337882399559,0.6533263921737671,1.345044732093811,0.0003085262724198401,14
2,0.8,input_at,3,2,1.4246649742126465,0.0671895444393158,0.8729292750358582,1.1302613019943237,-2.6809158953255974e-05,14
2,0.8,input_at,3,3,0.9797827005386353,0.04286202788352966,0.7340999245643616,1.2770291566848755,0.000208122975891456,14
2,0.8,input_at,3,4,1.3521744012832642,0.08083365857601166,0.7090266346931458,1.3203150033950806,0.00011798951891250908,14
2,0.8,input_at,3,5,1.2705979347229004,0.04283376410603523,0.7358983755111694,1.1715067625045776,0.0005015020142309368,14
2,0.8,input_at,3,6,1.3496161699295044,0.05691559240221977,0.4907722473144531,1.0382410287857056,0.07633984833955765,14
2,0.8,input_at,3,7,1.349268913269043,0.05691463127732277,0.4905179738998413,0.9929985404014587,0.07980608940124512,14
2,0.8,input_at,3,8,1.5778042078018188,0.06489012390375137,0.4768803119659424,1.022129774093628,0.07560518383979797,14
2,0.8,input_at,3,9,1.7603222131729126,0.09050462394952774,0.48781251907348633,1.0006296634674072,0.07979217916727066,14
2,0.8,input_at,3,10,1.3889615535736084,0.0802861824631691,0.44670748710632324,1.0295096635818481,0.07978390902280807,14
2,0.8,input_at,3,11,1.5766668319702148,0.06488022953271866,0.47619450092315674,0.9842496514320374,0.07852048426866531,14
