n,m,n_over_m,sparsity,condition,seed,recon_fvu,interference,sae_fvu_clean,sae_fvu_adv,sae_l0_clean,sae_l0_adv,sae_mono,sae_k,sae_dict,mean_D
20,10,2,0.99,baseline,1,0.01860670108628678,0.07365215569734573,0.06723476201295853,0.07070280611515045,1.0,1.0,0.9816777110099792,1,80,0.4196333885192871
20,10,2,0.99,baseline,2,0.01110950055188657,0.06665056943893433,0.04076312482357025,0.04482497274875641,1.0,1.0,0.9989510774612427,1,80,0.44019660353660583
20,10,2,0.99,baseline,3,0.013575966650746568,0.0710725411772728,0.029883723706007004,0.0388098880648613,1.0,1.0,0.9991613626480103,1,80,0.4239451289176941
20,10,2,0.99,baseline,4,0.010074555472080894,0.06514770537614822,0.03601396828889847,0.04282789304852486,1.0,1.0,0.9992424845695496,1,80,0.44464388489723206
20,10,2,0.99,input_at,0,0.017348193805265155,0.06426920741796494,0.029306666925549507,0.032871171832084656,1.0,1.0,0.998153030872345,1,80,0.44850102066993713
20,10,2,0.99,input_at,1,0.01630946101425924,0.06532874703407288,0.027506038546562195,0.030762527137994766,1.0,1.0,0.9994688034057617,1,80,0.443744421005249
20,10,2,0.99,input_at,2,0.019074331794727305,0.060780275613069534,0.03946716710925102,0.048065342009067535,1.0,1.0,0.9987794160842896,1,80,0.46536415815353394
20,10,2,0.99,input_at,3,0.014300322111159844,0.06754960119724274,0.029130389913916588,0.035849083214998245,1.0,1.0,0.9993901252746582,1,80,0.4371207356452942
20,10,2,0.99,input_at,4,0.010178240995463581,0.06466041505336761,0.03395100682973862,0.037846919149160385,1.0,1.0,0.9993577003479004,1,80,0.4458004832267761
20,10,2,0.99,lat,0,0.01707993626890376,0.06649219989776611,0.033353496342897415,0.03727414086461067,1.0,1.0,0.9990698099136353,1,80,0.44676321744918823
20,10,2,0.99,lat,1,0.021639652980205672,0.06579644978046417,0.032045718282461166,0.03777026757597923,1.0,1.0,0.9990420341491699,1,80,0.44937944412231445
